Season,team,team_full_name,conference,avg_age,avg_exp,avg_weight,avg_height,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,nb_champ_past_4y,nb_po_apperence,winner,ranking,Odds,avg_rank_last_x_years
2013,CLE,Cleveland Cavaliers,EAST,24.789473684210527,3.263157894736842,225.6315789473684,78.47368421052632,14850000,2225000.0,68428583,1,20,0,0,18,0,13.0,20000,6.0
2012,CLE,Cleveland Cavaliers,EAST,25.047619047619047,2.952380952380953,220.57142857142856,78.52380952380952,15076715,1795980.0,64875599,2,16,0,0,18,0,13.0,20000,4.6
2011,CLE,Cleveland Cavaliers,EAST,26.05263157894737,3.736842105263158,222.8421052631579,79.0,13358905,1020960.0,53990021,2,15,0,0,18,0,15.0,10000,2.0
2010,CLE,Cleveland Cavaliers,EAST,27.0,4.666666666666667,224.22222222222223,79.05555555555556,20000000,2644230.0,83398534,1,16,0,0,18,0,1.0,300,2.3333333333333335
2009,CLE,Cleveland Cavaliers,EAST,26.75,5.1875,224.9375,79.8125,14500000,4175000.0,91298233,0,16,0,0,17,0,1.0,1000,3.0
2008,CLE,Cleveland Cavaliers,EAST,27.60869565217392,5.3478260869565215,222.0,79.47826086956522,15500000,4250000.0,82217583,0,15,0,0,16,0,4.0,600,2.0
2025,DAL,Dallas Mavericks,WEST,26.571428571428573,5.0,216.26315789473685,79.14285714285714,43031940,4655621.0,175208588,2,14,1,0,25,0,,1000,7.111111111111111
2024,DAL,Dallas Mavericks,WEST,26.0,4.727272727272728,215.5,78.5909090909091,40064220,2541022.0,163631110,2,20,1,0,25,0,5.0,2500,7.235294117647059
2023,DAL,Dallas Mavericks,WEST,28.0,5.913043478260869,211.5217391304348,77.73913043478261,38917057,1936204.0,173241988,2,20,1,0,24,0,11.0,2500,7.0
2022,DAL,Dallas Mavericks,WEST,26.48148148148148,4.25925925925926,217.92592592592592,78.5925925925926,21306816,2957520.0,123647313,0,25,1,0,24,0,4.0,3000,7.2
2021,DAL,Dallas Mavericks,WEST,26.473684210526315,4.157894736842105,217.68421052631567,78.94736842105263,29467800,3948718.0,125665404,1,17,1,0,23,0,5.0,2500,7.357142857142857
2020,DAL,Dallas Mavericks,WEST,26.84210526315789,4.157894736842105,216.8947368421053,78.36842105263158,27285000,3280920.0,122798302,1,20,1,0,22,0,7.0,10500,7.384615384615385
2019,DAL,Dallas Mavericks,WEST,27.142857142857142,4.904761904761905,215.23809523809524,78.42857142857143,17325000,1946605.5,88351669,0,22,1,0,21,0,14.0,35000,6.833333333333333
2018,DAL,Dallas Mavericks,WEST,26.52173913043478,3.739130434782609,217.5217391304348,78.8695652173913,23112004,1391996.5,86136236,2,22,1,0,21,0,13.0,50000,6.2727272727272725
2017,DAL,Dallas Mavericks,WEST,26.75,3.8333333333333335,213.04166666666663,78.04166666666667,25000000,680937.0,103974075,2,23,1,0,21,0,11.0,39000,5.8
2016,DAL,Dallas Mavericks,WEST,29.125,7.1875,225.125,79.3125,16400000,1499187.0,74040317,2,19,1,0,21,0,6.0,12000,5.777777777777778
2015,DAL,Dallas Mavericks,WEST,28.526315789473685,7.263157894736842,217.6315789473684,78.73684210526316,14700000,1310286.0,83970065,0,21,1,0,20,0,7.0,2500,5.625
2014,DAL,Dallas Mavericks,WEST,28.133333333333333,6.333333333333333,215.53333333333333,78.06666666666666,22721381,2652000.0,68030257,1,14,1,1,19,0,8.0,4000,5.285714285714286
2013,DAL,Dallas Mavericks,WEST,28.52173913043478,6.217391304347826,218.17391304347825,77.56521739130434,20907128,1688530.0,67399169,1,19,1,1,18,0,10.0,3300,4.5
2012,DAL,Dallas Mavericks,WEST,29.375,7.9375,221.25,79.3125,19092873,3000000.0,74463409,1,12,1,1,18,0,8.0,850,3.8
2011,DAL,Dallas Mavericks,WEST,28.444444444444443,7.277777777777778,220.88888888888889,79.38888888888889,17278618,2983393.0,85409890,1,15,1,1,17,1,3.0,2000,4.0
2010,DAL,Dallas Mavericks,WEST,29.33333333333333,7.722222222222222,220.22222222222223,78.77777777777777,19795714,5350000.0,88916075,1,13,0,0,16,0,2.0,2500,4.666666666666667
2009,DAL,Dallas Mavericks,WEST,27.625,6.3125,224.125,79.25,21372000,1800000.0,95045559,1,16,0,0,15,0,6.0,2000,4.0
2008,DAL,Dallas Mavericks,WEST,28.15,6.7,221.45,78.75,19728000,2099555.5,101694879,0,16,0,0,14,0,7.0,450,1.0
2025,DEN,Denver Nuggets,WEST,25.714285714285715,4.047619047619048,226.07142857142856,79.28571428571429,51415938,3089640.0,177183025,3,10,1,1,32,0,,750,5.833333333333333
2024,DEN,Denver Nuggets,WEST,26.294117647058822,4.882352941176471,221.23529411764707,79.11764705882354,47607350,2367300.0,177890198,1,17,1,1,32,0,2.0,450,6.0588235294117645
2023,DEN,Denver Nuggets,WEST,26.666666666666668,5.611111111111111,221.61111111111111,78.55555555555556,33047803,2808600.0,159119037,1,16,1,1,31,1,1.0,1800,6.375
2022,DEN,Denver Nuggets,WEST,26.363636363636363,4.2727272727272725,214.5,77.9090909090909,30510423,2498760.0,136777556,2,19,0,0,30,0,6.0,2200,6.4
2021,DEN,Denver Nuggets,WEST,25.363636363636363,3.863636363636364,218.22727272727272,78.5,29542010,2379840.0,128479406,2,17,0,0,29,0,3.0,1800,6.642857142857143
2020,DEN,Denver Nuggets,WEST,24.666666666666668,3.380952380952381,220.42857142857144,79.23809523809524,30500000,2282376.5,130043323,2,16,0,0,28,0,3.0,2000,6.923076923076923
2019,DEN,Denver Nuggets,WEST,24.88888888888889,3.333333333333333,217.16666666666663,78.22222222222223,29230769,2029463.0,117304721,2,17,0,0,27,0,2.0,20000,7.333333333333333
2018,DEN,Denver Nuggets,WEST,25.77777777777778,4.666666666666667,220.72222222222223,78.66666666666667,31269231,2952687.5,107015203,1,17,0,0,26,0,9.0,20000,7.181818181818182
2017,DEN,Denver Nuggets,WEST,25.36842105263158,4.578947368421052,230.57894736842104,79.52631578947368,15050000,2200000.0,82573997,0,23,0,0,26,0,9.0,50000,7.0
2016,DEN,Denver Nuggets,WEST,25.42105263157895,3.947368421052632,218.42105263157896,78.47368421052632,14000000,1775860.0,72606354,0,22,0,0,26,0,11.0,30000,6.555555555555555
2015,DEN,Denver Nuggets,WEST,25.75,4.2,218.75,78.2,11595506,1762680.0,56278056,1,18,0,0,26,0,12.0,12500,5.875
2014,DEN,Denver Nuggets,WEST,25.875,4.625,219.125,78.5625,10786517,3231683.0,67324401,0,15,0,0,26,0,11.0,3300,5.142857142857143
2013,DEN,Denver Nuggets,WEST,24.6,3.6666666666666665,220.9333333333333,79.86666666666666,14968250,3070214.5,68566062,1,15,0,0,26,0,3.0,5000,5.5
2012,DEN,Denver Nuggets,WEST,25.705882352941178,4.235294117647059,224.35294117647047,79.88235294117646,13000000,3059000.0,58553173,1,14,0,0,25,0,6.0,6600,5.4
2011,DEN,Denver Nuggets,WEST,27.21052631578948,5.578947368421052,228.94736842105263,79.26315789473684,16545454,3435828.0,68019290,1,13,0,0,24,0,5.0,2500,5.5
2010,DEN,Denver Nuggets,WEST,27.53846153846154,5.923076923076923,224.92307692307693,78.76923076923077,15779912,2556208.5,74935538,2,12,0,0,23,0,5.0,1500,5.666666666666667
2009,DEN,Denver Nuggets,WEST,27.88235294117647,6.176470588235294,218.1764705882353,78.52941176470588,14431816,1939893.0,70121003,2,13,0,0,22,0,3.0,5000,7.0
2008,DEN,Denver Nuggets,WEST,26.94117647058824,5.176470588235294,214.35294117647047,77.82352941176471,19012500,2567033.5,82958227,1,15,0,0,21,0,8.0,1500,6.0
2025,DET,Detroit Pistons,EAST,24.444444444444443,3.055555555555556,209.4,78.55555555555556,25365854,7850120.0,129091348,0,14,3,0,34,0,,100000,10.277777777777779
