,Season,team,team_full_name,conference,avg_age,avg_exp,avg_weight,avg_height,Odds,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,nb_champ_past_4y,nb_po_apperence,winner,ranking
626,2012,PHI,Philadelphia 76ers,EAST,26.0,4.3125,227.8125,79.625,6600,17059727,2896232.0,66672368,2,12,2,0,33,0,8
627,2012,PHI,Philadelphia 76ers,EAST,26.0,4.3125,227.8125,79.625,10000,17059727,2896232.0,66672368,2,12,2,0,33,0,8
628,2012,PHI,Philadelphia 76ers,EAST,26.0,4.3125,227.8125,79.625,12500,17059727,2896232.0,66672368,2,12,2,0,33,0,8
629,2011,PHI,Philadelphia 76ers,EAST,26.466666666666665,5.066666666666666,225.06666666666663,79.4,6600,15959099,3788520.0,68915246,1,13,2,0,32,0,7
630,2011,PHI,Philadelphia 76ers,EAST,26.466666666666665,5.066666666666666,225.06666666666663,79.4,10000,15959099,3788520.0,68915246,1,13,2,0,32,0,7
631,2011,PHI,Philadelphia 76ers,EAST,26.466666666666665,5.066666666666666,225.06666666666663,79.4,12500,15959099,3788520.0,68915246,1,13,2,0,32,0,7
632,2010,PHI,Philadelphia 76ers,EAST,26.1875,4.75,220.9375,79.125,6600,14858471,1902700.0,64883448,1,13,2,0,31,0,13
633,2010,PHI,Philadelphia 76ers,EAST,26.1875,4.75,220.9375,79.125,10000,14858471,1902700.0,64883448,1,13,2,0,31,0,13
634,2010,PHI,Philadelphia 76ers,EAST,26.1875,4.75,220.9375,79.125,12500,14858471,1902700.0,64883448,1,13,2,0,31,0,13
635,2009,PHI,Philadelphia 76ers,EAST,27.307692307692307,6.076923076923077,224.07692307692307,78.84615384615384,15000,13757844,2678060.0,68301007,1,13,2,0,31,0,6
636,2009,PHI,Philadelphia 76ers,EAST,27.307692307692307,6.076923076923077,224.07692307692307,78.84615384615384,2500,13757844,2678060.0,68301007,1,13,2,0,31,0,6
637,2008,PHI,Philadelphia 76ers,EAST,25.866666666666667,3.866666666666666,218.46666666666667,79.2,15000,19000000,2442444.5,74038229,1,17,2,0,30,0,7
638,2008,PHI,Philadelphia 76ers,EAST,25.866666666666667,3.866666666666666,218.46666666666667,79.2,2500,19000000,2442444.5,74038229,1,17,2,0,30,0,7
639,2025,PHO,Phoenix Suns,WEST,28.047619047619047,5.761904761904762,215.76470588235293,78.33333333333333,3500,51179021,8250000.0,219627801,3,10,0,0,33,0,
640,2024,PHO,Phoenix Suns,WEST,27.681818181818183,6.5,223.27272727272728,78.22727272727273,3500,47649433,2623236.5,191331329,2,20,0,0,33,0,6
641,2023,PHO,Phoenix Suns,WEST,27.6,5.75,216.0,78.4,3500,44119845,1836090.0,172327721,1,19,0,0,32,0,4
642,2022,PHO,Phoenix Suns,WEST,26.82608695652174,4.521739130434782,216.5217391304348,78.43478260869566,3500,31650600,3768342.0,135742648,2,21,0,0,31,0,1
643,2021,PHO,Phoenix Suns,WEST,26.294117647058822,4.352941176470588,213.23529411764707,78.11764705882354,3500,41358814,3925000.0,127115196,2,15,0,0,30,0,2
644,2020,PHO,Phoenix Suns,WEST,24.105263157894736,2.473684210526316,207.94736842105263,78.10526315789474,3500,27285000,3481986.0,121137310,1,18,0,0,29,0,10
645,2019,PHO,Phoenix Suns,WEST,25.416666666666668,4.333333333333333,213.54166666666663,78.625,3500,19245370,3208630.0,109405766,0,25,0,0,29,0,15
646,2018,PHO,Phoenix Suns,WEST,24.27272727272728,3.0454545454545454,215.8636363636364,77.81818181818181,3500,16384175,3073800.0,92518634,0,23,0,0,29,0,15
647,2017,PHO,Phoenix Suns,WEST,25.55555555555556,4.333333333333333,218.38888888888889,77.88888888888889,3500,14000000,2223600.0,85115778,0,21,0,0,29,0,15
